"38.608157, -90.212793"," 38.503658, -90.338531"
"38.645402767911236, -90.19038008948353","38.73941750302947, -90.36711780510736"
"38.50704992855341, -90.34868169228166","38.69506236867715, -90.45064444421797"
"38.619117861748094, -90.18701619928001","38.62974944872341, -90.34160510195098"
"38.64272364200376, -90.1884845499635","38.55058291280976, -90.42464789236925"
